text,category,priority,location
Water not coming from since last month.,Water Supply,High,Ramaiah Street
meter not working properly at ameerpet.,Electricity,Low,Ameerpet
Water standing in Old Town for 3 months due to poor drainage.,Drainage,Medium,Old Town
Garbage truck route skipping Anna Nagar area!,Sanitation,Medium,Anna Nagar
Transformer noise disturbing residents of MG Road!,Electricity,Low,MG Road
Solar street lights not working in near government hospital for since last month!,Street Lighting,Medium,near government hospital
Power cuts happening frequently in Patel Nagar!,Electricity,Medium,Patel Nagar
Rainwater harvesting pit blocked near Bose Nagar.,Drainage,Medium,Bose Nagar
Electricity restored but flickering continuously in Patel Nagar.,Electricity,Medium,Patel Nagar
Unauthorized construction blocking Ward 12 road.,Roads,Medium,Ward 12
No power supply to Ward 5 area for more than a week.,Electricity,Medium,Ward 5
Sewage water on road in Rajampet creating unhygienic conditions!,Drainage,Medium,Rajampet
Water contamination noticed in Himayatnagar supply.,Water Supply,Critical,Himayatnagar
Water tanker not coming for 2 weeks to MG Road.,Water Supply,Medium,MG Road
Road divider broken on Uppal highway!,Roads,Medium,Uppal
Road divider broken on Bhagath Singh Nagar highway.,Roads,Medium,Bhagath Singh Nagar
main water pipe burst on ward 12 road causing wastage.,Water Supply,Medium,Ward 12
Overhead cable broken and lying on road in Begumpet!,Electricity,Medium,Begumpet
Drain outlet blocked in Station Road causing backflow!,Drainage,Medium,Station Road
the road near ramaiah street has too many potholes.,Roads,Medium,Ramaiah Street
pipeline leakage causing water logging in ecil.,Water Supply,Critical,ECIL
Pot holes in Rajampet area destroying vehicles.,Roads,Medium,Rajampet
rainwater harvesting pit blocked near uppal.,Drainage,Medium,Uppal
There is no electricity supply in Ward 5 since yesterday.,Electricity,High,Ward 5
Main water pipe burst on New Town road causing wastage.,Water Supply,Medium,New Town
Industrial waste illegally dumped near Market Area!,Sanitation,Medium,Market Area
no sanitation service in our locality in jubilee hills.,Sanitation,Medium,Jubilee Hills
narrow road in jubilee hills causing traffic jams.,Roads,Low,Jubilee Hills
road near himayatnagar has large cracks and is sinking.,Roads,High,Himayatnagar
Pot holes in Bhagath Singh Nagar area destroying vehicles.,Roads,Medium,Bhagath Singh Nagar
Electricity supply disrupted for 7 days in Uppal!,Electricity,Medium,Uppal
Garbage pile near Himayatnagar hospital entrance.,Sanitation,High,Himayatnagar
New electricity connection not provided in Gandhi Nagar for last week!,Electricity,Medium,Gandhi Nagar
Street lights not working in main junction for 15 days!,Street Lighting,Medium,main junction
Pot holes in Jubilee Hills area destroying vehicles!,Roads,Medium,Jubilee Hills
Waste segregation not done by staff in outer ring road!,Sanitation,Medium,outer ring road
Low water pressure in RTC Bus Stand for the past 2 months!,Water Supply,Medium,RTC Bus Stand
water supply is interrupted daily in dilsukhnagar.,Water Supply,Medium,Dilsukhnagar
garbage vehicle not coming to station road since yesterday.,Sanitation,Medium,Station Road
There has been no water supply in near railway station for yesterday.,Water Supply,High,near railway station
unauthorized construction blocking ward 12 road.,Roads,Medium,Ward 12
bad smell from drain near rtc bus stand.,Drainage,Medium,RTC Bus Stand
Waste collection not done for more than a week in near school.,Sanitation,Medium,near school
No dustbins provided in Himayatnagar market area!,Sanitation,Low,Himayatnagar
Hand pump not working in ECIL for last Tuesday!,Water Supply,Medium,ECIL
dustbin near rajampet is full and not cleared for several days.,Sanitation,Medium,Rajampet
irregular water supply in ward 5 residential area.,Water Supply,Medium,Ward 5
public places dirty due to no sweeping in old town.,Sanitation,Medium,Old Town
Sewage overflowing on road in near government hospital!,Drainage,High,near government hospital
Open defecation near outer ring road because of no toilet.,Sanitation,Medium,outer ring road
Our entire street has been without water since 3 days!,Water Supply,Medium,Ward 12
LED street light needs replacement in RTC Bus Stand.,Street Lighting,Medium,RTC Bus Stand
Traffic island on Patel Nagar road is broken!,Roads,Medium,Patel Nagar
There has been no water supply in Anna Nagar for last Tuesday.,Water Supply,High,Anna Nagar
Sewage water mixing with drinking water in Market Area.,Water Supply,Medium,Market Area
Street light near RTC Bus Stand is not functioning since more than a week.,Street Lighting,Medium,RTC Bus Stand
Substation fault causing outage in Ward 5 for a month!,Electricity,Medium,Ward 5
New colony Bhagath Singh Nagar not provided with street lights.,Street Lighting,Medium,Bhagath Singh Nagar
electric wire hanging low on old town road dangerous.,Electricity,Medium,Old Town
main road in ameerpet is waterlogged after rain.,Roads,Medium,Ameerpet
many potholes on the main road in ward 7 causing accidents.,Roads,High,Ward 7
footpath damaged near ward 5 causing inconvenience.,Roads,Low,Ward 5
Electric wire hanging low on Bose Nagar road dangerous!,Electricity,Medium,Bose Nagar
Drainage system in Nehru Colony is choked and needs cleaning.,Drainage,Medium,Nehru Colony
Electricity restored but flickering continuously in Station Road.,Electricity,Medium,Station Road
Irregular water supply in Ramaiah Street residential area.,Water Supply,Medium,Ramaiah Street
public water tap not working in lb nagar for several days.,Water Supply,Medium,LB Nagar
Bio-medical waste dumped near Uppal road!,Sanitation,High,Uppal
Vandalism of street light in Ashok Nagar colony!,Street Lighting,Medium,Ashok Nagar
Road construction incomplete in Bhagath Singh Nagar for 10 days.,Roads,Medium,Bhagath Singh Nagar
the stretch of road near himayatnagar is damaged and dangerous.,Roads,High,Himayatnagar
Entire Lakshmi Puram area dark at night due to power failure.,Street Lighting,Medium,Lakshmi Puram
Transformer blown in Ward 7 area since 3 days.,Electricity,High,Ward 7
Water supply cut without notice in Bhagath Singh Nagar area!,Water Supply,Medium,Bhagath Singh Nagar
Transformer noise disturbing residents of main junction!,Electricity,Low,main junction
Solid waste management failure in Market Area ward.,Sanitation,Medium,Market Area
street lights not working in bhagath singh nagar for last week.,Street Lighting,Medium,Bhagath Singh Nagar
Dustbin near Ramaiah Street is full and not cleared for last Tuesday.,Sanitation,Medium,Ramaiah Street
Several street lights off on Rajampet road for yesterday!,Street Lighting,Medium,Rajampet
Loose electric wire on road near Srinivasa Nagar is dangerous!,Electricity,Critical,Srinivasa Nagar
Electricity bill is incorrect for connection in Begumpet.,Electricity,Medium,Begumpet
road near ecil has large cracks and is sinking.,Roads,High,ECIL
Transformer noise disturbing residents of Bhagath Singh Nagar.,Electricity,Low,Bhagath Singh Nagar
power cuts happening frequently in near government hospital.,Electricity,Medium,near government hospital
Water tanker not coming for 5 days to Bhagath Singh Nagar!,Water Supply,Medium,Bhagath Singh Nagar
Several street lights off on Bose Nagar road for 7 days.,Street Lighting,Medium,Bose Nagar
Frequent power outages in Ashok Nagar colony!,Electricity,Medium,Ashok Nagar
solid waste management failure in patel nagar ward.,Sanitation,Medium,Patel Nagar
led street light needs replacement in ambedkar nagar.,Street Lighting,Medium,Ambedkar Nagar
Entire ECIL area dark at night due to power failure.,Street Lighting,Medium,ECIL
sewer line broken near new town causing leakage.,Drainage,Medium,New Town
Dead animals lying on road in Anna Nagar creating health hazard.,Sanitation,High,Anna Nagar
Garbage pile near LB Nagar hospital entrance!,Sanitation,High,LB Nagar
Fuse box damaged in Market Area locality.,Electricity,Medium,Market Area
digging work done on uppal road not filled properly.,Roads,Medium,Uppal
Water standing in near railway station for 4 days due to poor drainage.,Drainage,Medium,near railway station
construction debris not removed from dilsukhnagar for a month.,Sanitation,Medium,Dilsukhnagar
Open defecation near Himayatnagar because of no toilet.,Sanitation,Medium,Himayatnagar
Flooding in Old Town due to inadequate drainage.,Drainage,High,Old Town
Solar street lights not working in near government hospital for last week!,Street Lighting,Medium,near government hospital
Pipeline leakage causing water logging in Anna Nagar.,Water Supply,Critical,Anna Nagar
Sewer line broken near Himayatnagar causing leakage!,Drainage,Medium,Himayatnagar
Dirty water is coming from the tap in Himayatnagar!,Water Supply,Medium,Himayatnagar
Speed breaker missing near school in RTC Bus Stand.,Roads,Medium,RTC Bus Stand
Loose electric wire on road near Srinivasa Nagar is dangerous.,Electricity,Critical,Srinivasa Nagar
No potable water available in Lakshmi Puram ward.,Water Supply,Medium,Lakshmi Puram
Waste collection not done for 2 months in Srinivasa Nagar.,Sanitation,Medium,Srinivasa Nagar
Narrow road in Ameerpet causing traffic jams.,Roads,Low,Ameerpet
Public places dirty due to no sweeping in Uppal!,Sanitation,Medium,Uppal
Street light reports pending for last Tuesday in main junction.,Street Lighting,Medium,main junction
There has been no water supply in RTC Bus Stand for Monday!,Water Supply,High,RTC Bus Stand
Pipeline leakage causing water logging in Uppal.,Water Supply,Critical,Uppal
drinking water pipeline broken near near railway station.,Water Supply,High,near railway station
Solid waste management failure in Uppal ward.,Sanitation,Medium,Uppal
drainage work done but not completed in nehru colony.,Drainage,Medium,Nehru Colony
power supply cut without prior notice in station road.,Electricity,Medium,Station Road
Flickering street light near Indira Nagar disturbing residents.,Street Lighting,Low,Indira Nagar
There is no electricity supply in Station Road since Monday!,Electricity,High,Station Road
Electricity restored but flickering continuously in Uppal.,Electricity,Medium,Uppal
Drainage canal blocked near main junction bridge.,Drainage,Medium,main junction
Several street lights off on Market Area road for 3 days!,Street Lighting,Medium,Market Area
Flickering street light near Kukatpally disturbing residents!,Street Lighting,Low,Kukatpally
Cable theft causing power outage in Anna Nagar.,Electricity,Medium,Anna Nagar
Main drain in near railway station blocked after heavy rain!,Drainage,Medium,near railway station
Street lights not working in Nehru Colony for since last month!,Street Lighting,Medium,Nehru Colony
Street light near LB Nagar is not functioning since last Tuesday!,Street Lighting,Medium,LB Nagar
Ring road near Begumpet damaged and needs resurfacing!,Roads,Medium,Begumpet
rainwater harvesting pit blocked near bose nagar.,Drainage,Medium,Bose Nagar
Road surface broken in Srinivasa Nagar after heavy rain.,Roads,Medium,Srinivasa Nagar
road markings faded on dilsukhnagar road posing danger.,Roads,Low,Dilsukhnagar
open sewer near kukatpally market causing health risk.,Drainage,Medium,Kukatpally
Electric pole damaged near ECIL road!,Electricity,Medium,ECIL
Many potholes on main road in Nehru Colony causing accidents.,Roads,High,Nehru Colony
drainage system in jubilee hills is choked and needs cleaning.,Drainage,Medium,Jubilee Hills
Water standing in outer ring road for yesterday due to poor drainage.,Drainage,Medium,outer ring road
No proper road in Patel Nagar colony since 2 months!,Roads,Medium,Patel Nagar
road condition in old town is very bad due to potholes.,Roads,Medium,Old Town
the road near kukatpally has too many potholes.,Roads,Medium,Kukatpally
pipeline near Ashok Nagar is leaking and water is wasted.,Water Supply,Medium,Ashok Nagar
drain outlet blocked in ameerpet causing backflow.,Drainage,Medium,Ameerpet
New streets in Ramaiah Street have no street light installed.,Street Lighting,Medium,Ramaiah Street
Sewage water on road in Lakshmi Puram creating unhygienic conditions!,Drainage,Medium,Lakshmi Puram
Loose electric wire on road near Patel Nagar is dangerous.,Electricity,Critical,Patel Nagar
Narrow road in Ashok Nagar causing traffic jams!,Roads,Low,Ashok Nagar
rainwater harvesting pit blocked near ambedkar nagar.,Drainage,Medium,Ambedkar Nagar
Ring road near near school damaged and needs resurfacing.,Roads,Medium,near school
Construction debris not removed from outer ring road for more than a week!,Sanitation,Medium,outer ring road
Electricity restored but flickering continuously in main junction!,Electricity,Medium,main junction
street light pole broken near near school.,Street Lighting,Medium,near school
Electricity bill is incorrect for connection in Rajampet.,Electricity,Medium,Rajampet
Dustbin near Patel Nagar is full and not cleared for a month.,Sanitation,Medium,Patel Nagar
Power supply quality poor with low voltage in Anna Nagar!,Electricity,Medium,Anna Nagar
narrow road in dilsukhnagar causing traffic jams.,Roads,Low,Dilsukhnagar
Manhole open in near government hospital road is dangerous.,Drainage,Medium,near government hospital
narrow road in uppal causing traffic jams.,Roads,Low,Uppal
Water not coming from several days.,Water Supply,High,Ramaiah Street
Public places dirty due to no sweeping in Market Area.,Sanitation,Medium,Market Area
Vandalism of street light in Jubilee Hills colony.,Street Lighting,Medium,Jubilee Hills
waste collection not done for 10 days in ecil.,Sanitation,Medium,ECIL
Road not repaired for 3 days in LB Nagar.,Roads,Medium,LB Nagar
Water is not supplied for 1 week and people are suffering!,Water Supply,Medium,Lakshmi Puram
sewage smell coming from lb nagar street.,Sanitation,Medium,LB Nagar
drinking water pipeline broken near kukatpally.,Water Supply,High,Kukatpally
Road markings faded on Rajampet road posing danger.,Roads,Low,Rajampet
Electric wire hanging low on Uppal road dangerous.,Electricity,Medium,Uppal
Bad smell from drain near Jubilee Hills.,Drainage,Medium,Jubilee Hills
there is no electricity supply in ward 12 since 3 months.,Electricity,High,Ward 12
the stretch of road near nehru colony is damaged and dangerous.,Roads,High,Nehru Colony
Garbage truck route skipping Patel Nagar area.,Sanitation,Medium,Patel Nagar
Industrial waste illegally dumped near Anna Nagar.,Sanitation,Medium,Anna Nagar
Septic tank overflow in Ward 7 colony!,Drainage,Medium,Ward 7
street lights on outer ring road road are dim and not enough.,Street Lighting,Medium,outer ring road
transformer blown in ecil area since last tuesday.,Electricity,High,ECIL
Load shedding scheduled but not notified to Station Road residents.,Electricity,Medium,Station Road
loose electric wire on road near new town is dangerous.,Electricity,Critical,New Town
No street lighting in Ashok Nagar causing safety issues.,Street Lighting,Medium,Ashok Nagar
Women feel unsafe walking on Gandhi Nagar due to no street lights.,Street Lighting,Medium,Gandhi Nagar
Unauthorized construction blocking Jubilee Hills road.,Roads,Medium,Jubilee Hills
Sweeper has not visited near railway station for since last month!,Sanitation,Medium,near railway station
Road near Uppal has large cracks and is sinking.,Roads,High,Uppal
No sanitation service in our locality in ECIL.,Sanitation,Medium,ECIL
Dark roads in near government hospital due to non-working street lights.,Street Lighting,High,near government hospital
Nala near Lakshmi Puram encroached blocking water flow!,Drainage,Medium,Lakshmi Puram
no street lighting in bose nagar causing safety issues.,Street Lighting,Medium,Bose Nagar
Power supply quality poor with low voltage in near railway station.,Electricity,Medium,near railway station
dirty water is coming from the tap in patel nagar.,Water Supply,Medium,Patel Nagar
There is no electricity supply in Ward 5 since 2 months.,Electricity,High,Ward 5
Septic tank overflow in Jubilee Hills colony.,Drainage,Medium,Jubilee Hills
Street light cable stolen in Bose Nagar colony!,Street Lighting,Medium,Bose Nagar
Irregular water supply in Ward 5 residential area.,Water Supply,Medium,Ward 5
stormwater drain not maintained in bose nagar for 5 days.,Drainage,Medium,Bose Nagar
Public places dirty due to no sweeping in Bhagath Singh Nagar.,Sanitation,Medium,Bhagath Singh Nagar
Open defecation near Market Area because of no toilet.,Sanitation,Medium,Market Area
Damaged street light post on Srinivasa Nagar road!,Street Lighting,Medium,Srinivasa Nagar
Public places dirty due to no sweeping in Nehru Colony.,Sanitation,Medium,Nehru Colony
water is not supplied for 2 days and people are suffering.,Water Supply,Medium,Ward 7
Road not repaired for 3 months in main junction.,Roads,Medium,main junction
Dirty water is coming from the tap in near railway station!,Water Supply,Medium,near railway station
Ward RTC Bus Stand has been facing water shortage since since last month!,Water Supply,High,RTC Bus Stand
dead animals lying on road in mg road creating health hazard.,Sanitation,High,MG Road
Street lights not working in Ambedkar Nagar for 3 months.,Street Lighting,Medium,Ambedkar Nagar
Open defecation near Lakshmi Puram because of no toilet!,Sanitation,Medium,Lakshmi Puram
Rainwater harvesting pit blocked near Srinivasa Nagar.,Drainage,Medium,Srinivasa Nagar
Sewage overflowing on road in main junction.,Drainage,High,main junction
New electricity connection not provided in near railway station for 7 days.,Electricity,Medium,near railway station
Dustbin near Bose Nagar is full and not cleared for 2 months.,Sanitation,Medium,Bose Nagar
Garbage has not been collected in near government hospital for several days.,Sanitation,High,near government hospital
Water contamination noticed in Old Town supply.,Water Supply,Critical,Old Town
Water not coming from 1 week.,Water Supply,High,Bose Nagar
Open drain in Ward 5 causing mosquito breeding.,Drainage,Low,Ward 5
open garbage dumped near uppal park.,Sanitation,Medium,Uppal
open drain in new town causing mosquito breeding.,Drainage,Low,New Town
pipeline leakage causing water logging in rtc bus stand.,Water Supply,Critical,RTC Bus Stand
No dustbins provided in Ramaiah Street market area!,Sanitation,Low,Ramaiah Street
Rainwater harvesting pit blocked near Kukatpally.,Drainage,Medium,Kukatpally
Road condition in Nehru Colony is very bad due to potholes.,Roads,Medium,Nehru Colony
Water is not supplied for more than a week and people are suffering!,Water Supply,Medium,ECIL
Several street lights off on Ameerpet road for since last month!,Street Lighting,Medium,Ameerpet
narrow road in rtc bus stand causing traffic jams.,Roads,Low,RTC Bus Stand
Dirty water is coming from tap in Old Town.,Water Supply,Medium,Old Town
Road construction incomplete in Ward 12 for yesterday.,Roads,Medium,Ward 12
Irregular water supply in RTC Bus Stand residential area.,Water Supply,Medium,RTC Bus Stand
Road condition in Ashok Nagar is very bad due to potholes.,Roads,Medium,Ashok Nagar
Drinking water pipeline broken near Ramaiah Street.,Water Supply,High,Ramaiah Street
No sanitation service in our locality in main junction!,Sanitation,Medium,main junction
no light near main junction bus stop causing issues.,Street Lighting,Medium,main junction
Street lights on Old Town road are dim and not enough.,Street Lighting,Medium,Old Town
Drain not cleaned in Ward 12 for a month causing flooding.,Drainage,High,Ward 12
Street light timer malfunction in MG Road ward.,Street Lighting,Low,MG Road
Water not coming from 2 months!,Water Supply,High,Station Road
Street light reports pending for 2 months in Indira Nagar!,Street Lighting,Medium,Indira Nagar
Load shedding scheduled but not notified to Jubilee Hills residents.,Electricity,Medium,Jubilee Hills
Power disruption causing losses to businesses in Patel Nagar.,Electricity,Medium,Patel Nagar
Electricity restored but flickering continuously in Bose Nagar.,Electricity,Medium,Bose Nagar
Electricity meter tampered in Ward 7 apartment.,Electricity,Medium,Ward 7
Bad smell from drain near LB Nagar!,Drainage,Medium,LB Nagar
Load shedding scheduled but not notified to Market Area residents.,Electricity,Medium,Market Area
Street light reports pending for 10 days in Anna Nagar!,Street Lighting,Medium,Anna Nagar
the pipeline near anna nagar is leaking and water is wasted.,Water Supply,Medium,Anna Nagar
Construction debris not removed from Bose Nagar for last Tuesday.,Sanitation,Medium,Bose Nagar
frequent power outages in begumpet colony.,Electricity,Medium,Begumpet
Power supply cut without prior notice in Rajampet.,Electricity,Medium,Rajampet
new streets in rtc bus stand have no street light installed.,Street Lighting,Medium,RTC Bus Stand
Nala near Bhagath Singh Nagar encroached blocking water flow.,Drainage,Medium,Bhagath Singh Nagar
Littering problem on Uppal beach area!,Sanitation,Low,Uppal
All street lights in Ward 7 area are off since 15 days.,Street Lighting,Medium,Ward 7
Water supply is interrupted daily in outer ring road!,Water Supply,Medium,outer ring road
new electricity connection not provided in old town for last tuesday.,Electricity,Medium,Old Town
Power failure in Market Area since 1 week causing problems.,Electricity,High,Market Area
Sewage water on road in ECIL creating unhygienic conditions!,Drainage,Medium,ECIL
Road not repaired for last week in Anna Nagar.,Roads,Medium,Anna Nagar
Water standing in Ameerpet for 15 days due to poor drainage.,Drainage,Medium,Ameerpet
Overhead cable broken and lying on road in New Town.,Electricity,Medium,New Town
Unauthorized construction blocking near school road!,Roads,Medium,near school
Irregular water supply in Uppal residential area.,Water Supply,Medium,Uppal
Water contamination noticed in Begumpet supply.,Water Supply,Critical,Begumpet
solar street lights not working in rajampet for 4 days.,Street Lighting,Medium,Rajampet
Street lights on Kukatpally road are dim and not enough.,Street Lighting,Medium,Kukatpally
Water not coming from last week!,Water Supply,High,near school
Flickering street light near RTC Bus Stand disturbing residents.,Street Lighting,Low,RTC Bus Stand
Damaged street light post on main junction road.,Street Lighting,Medium,main junction
Sweeper has not visited New Town for 7 days!,Sanitation,Medium,New Town
Electric pole damaged near Market Area road.,Electricity,Medium,Market Area
sweeper has not visited ashok nagar for since last month.,Sanitation,Medium,Ashok Nagar
Dead animals lying on road in Ward 7 creating health hazard.,Sanitation,High,Ward 7
Garbage bins in outer ring road are overflowing!,Sanitation,High,outer ring road
Several street lights off on Dilsukhnagar road for 2 weeks!,Street Lighting,Medium,Dilsukhnagar
Several street lights off on Ward 7 road for 2 days!,Street Lighting,Medium,Ward 7
Electric wire hanging low on main junction road dangerous!,Electricity,Medium,main junction
drainage system in lakshmi puram is choked and needs cleaning.,Drainage,Medium,Lakshmi Puram
Pot holes in Bose Nagar area destroying vehicles.,Roads,Medium,Bose Nagar
speed breaker missing near school in jubilee hills.,Roads,Medium,Jubilee Hills
Main water pipe burst on Patel Nagar road causing wastage!,Water Supply,Medium,Patel Nagar
Many potholes on main road in MG Road causing accidents.,Roads,High,MG Road
The pipeline near outer ring road is leaking and water is wasted.,Water Supply,Medium,outer ring road
Garbage has not been collected in Bhagath Singh Nagar for last week!,Sanitation,Medium,Bhagath Singh Nagar
public water tap not working in near school for 2 weeks.,Water Supply,Medium,near school
Street lights remain ON during daytime in MG Road wasting electricity.,Street Lighting,Medium,MG Road
Drain near Indira Nagar is blocked and water is overflowing.,Drainage,Medium,Indira Nagar
Water tanker not coming for last week to Station Road!,Water Supply,Medium,Station Road
No power supply to Station Road area for 10 days.,Electricity,Medium,Station Road
littering problem on indira nagar beach area.,Sanitation,Low,Indira Nagar
Dead animals lying on road in Bhagath Singh Nagar creating health hazard.,Sanitation,High,Bhagath Singh Nagar
flickering street light near ward 7 disturbing residents.,Street Lighting,Low,Ward 7
flooding in srinivasa nagar due to inadequate drainage.,Drainage,High,Srinivasa Nagar
unauthorized construction blocking station road road.,Roads,Medium,Station Road
Power supply quality poor with low voltage in LB Nagar.,Electricity,Medium,LB Nagar
road surface broken in old town after heavy rain.,Roads,Medium,Old Town
Side road in Ward 5 flooded due to poor drainage.,Roads,Medium,Ward 5
No dustbins provided in Dilsukhnagar market area.,Sanitation,Low,Dilsukhnagar
Sweeper has not visited Lakshmi Puram for last week!,Sanitation,Medium,Lakshmi Puram
Road near outer ring road has large cracks and is sinking!,Roads,High,outer ring road
There is no electricity supply in Patel Nagar since 15 days.,Electricity,High,Patel Nagar
Street light cable stolen in RTC Bus Stand colony.,Street Lighting,Medium,RTC Bus Stand
industrial waste illegally dumped near near government hospital.,Sanitation,High,near government hospital
Women feel unsafe walking on ECIL due to no street lights.,Street Lighting,Medium,ECIL
Drainage canal blocked near Ashok Nagar bridge.,Drainage,Medium,Ashok Nagar
Several street lights off on Gandhi Nagar road for 7 days.,Street Lighting,Medium,Gandhi Nagar
Street light reports pending for 5 days in Rajampet.,Street Lighting,Medium,Rajampet
Fuse box damaged in Bose Nagar locality.,Electricity,Medium,Bose Nagar
road near Srinivasa Nagar has too many potholes.,Roads,Medium,Srinivasa Nagar
Road near Nehru Colony has large cracks and is sinking.,Roads,High,Nehru Colony
Vandalism of street light in Bose Nagar colony!,Street Lighting,Medium,Bose Nagar
Drainage water entering homes in Lakshmi Puram.,Drainage,High,Lakshmi Puram
Street dogs attacking due to garbage at Uppal!,Sanitation,Medium,Uppal
Street light cable stolen in ECIL colony.,Street Lighting,Medium,ECIL
Electric wire hanging low on Begumpet road dangerous.,Electricity,Medium,Begumpet
Digging work done on Bose Nagar road not filled properly!,Roads,Medium,Bose Nagar
Sweeper has not visited Gandhi Nagar for 3 months!,Sanitation,Medium,Gandhi Nagar
Dustbin near Rajampet is full and not cleared for 15 days.,Sanitation,Medium,Rajampet
Industrial waste illegally dumped near Uppal.,Sanitation,Medium,Uppal
our entire street has been without water since since last month.,Water Supply,Medium,Nehru Colony
Rainwater harvesting pit blocked near LB Nagar.,Drainage,Medium,LB Nagar
No water in Old Town apartment complex for Monday.,Water Supply,High,Old Town
Construction debris not removed from Begumpet for a month.,Sanitation,Medium,Begumpet
Drain not cleaned before monsoon in main junction.,Drainage,Low,main junction
Underground drainage choked in near school for 2 days!,Drainage,Medium,near school
underground drainage choked in lakshmi puram for more than a week.,Drainage,Medium,Lakshmi Puram
Park in Ashok Nagar has no lighting making it unsafe.,Street Lighting,High,Ashok Nagar
Garbage bins in Lakshmi Puram are overflowing.,Sanitation,High,Lakshmi Puram
Electricity bill is incorrect for connection in Lakshmi Puram!,Electricity,Medium,Lakshmi Puram
no potable water available in jubilee hills ward.,Water Supply,Medium,Jubilee Hills
Power failure in Ambedkar Nagar since 15 days causing problems.,Electricity,High,Ambedkar Nagar
Frequent power outages in Kukatpally colony.,Electricity,Medium,Kukatpally
There is no electricity supply in Jubilee Hills since a month!,Electricity,High,Jubilee Hills
Stormwater drain not maintained in New Town for 3 months.,Drainage,Medium,New Town
Street light timer malfunction in near railway station ward.,Street Lighting,Low,near railway station
Open garbage dumped near Bhagath Singh Nagar park.,Sanitation,Medium,Bhagath Singh Nagar
Street light near Station Road is not functioning since yesterday!,Street Lighting,Medium,Station Road
power disruption causing losses to businesses in rtc bus stand.,Electricity,Medium,RTC Bus Stand
Transformer blown in ECIL area since 3 months!,Electricity,High,ECIL
Street light near Lakshmi Puram is not functioning since several days.,Street Lighting,Medium,Lakshmi Puram
electricity supply disrupted for last week in kukatpally.,Electricity,Medium,Kukatpally
New colony Ashok Nagar not provided with street lights.,Street Lighting,Medium,Ashok Nagar
Sewage overflowing on road in Bose Nagar!,Drainage,High,Bose Nagar
The road near Nehru Colony has too many potholes!,Roads,Medium,Nehru Colony
No water in Indira Nagar apartment complex for 3 days.,Water Supply,High,Indira Nagar
Dirty water is coming from tap in Ward 12.,Water Supply,Medium,Ward 12
dead animals lying on road in main junction creating health hazard.,Sanitation,High,main junction
road repair needed urgently in nehru colony.,Roads,Medium,Nehru Colony
water meter damaged in station road colony.,Water Supply,Low,Station Road
road not repaired for 2 months in lb nagar.,Roads,Medium,LB Nagar
power failure in ashok nagar since 4 days causing problems.,Electricity,High,Ashok Nagar
Our entire street has been without water since 2 months!,Water Supply,Medium,Ameerpet
Solid waste management failure in near school ward.,Sanitation,Medium,near school
Women feel unsafe walking on New Town due to no street lights!,Street Lighting,Medium,New Town
Power failure in Market Area since 5 days causing problems!,Electricity,High,Market Area
No water coming from tap for 2 weeks in Ramaiah Street.,Water Supply,High,Ramaiah Street
The stretch of road near Ambedkar Nagar is damaged and dangerous!,Roads,High,Ambedkar Nagar
littering problem on dilsukhnagar beach area.,Sanitation,Low,Dilsukhnagar
street light pole broken near jubilee hills.,Street Lighting,Medium,Jubilee Hills
drain outlet blocked in outer ring road causing backflow.,Drainage,Medium,outer ring road
drinking water pipeline broken near indira nagar.,Water Supply,High,Indira Nagar
Meter not working properly at Rajampet.,Electricity,Low,Rajampet
Accidents happening on Station Road road due to no lighting!,Street Lighting,High,Station Road
Water standing in Ashok Nagar for 3 months due to poor drainage.,Drainage,Medium,Ashok Nagar
Drainage canal blocked near Ramaiah Street bridge.,Drainage,Medium,Ramaiah Street
Power supply quality poor with low voltage in Rajampet.,Electricity,Medium,Rajampet
Park in New Town has no lighting making it unsafe!,Street Lighting,High,New Town
Sewage water mixing with drinking water in Rajampet!,Water Supply,Medium,Rajampet
water is not supplied for 10 days and people are suffering.,Water Supply,Medium,main junction
Electric wire hanging low on near railway station road dangerous.,Electricity,Medium,near railway station
substation fault causing outage in market area for 5 days.,Electricity,Medium,Market Area
road near patel nagar has large cracks and is sinking.,Roads,High,Patel Nagar
Drainage work done but not completed in LB Nagar!,Drainage,Medium,LB Nagar
flickering street light near patel nagar disturbing residents.,Street Lighting,Low,Patel Nagar
pot holes in market area area destroying vehicles.,Roads,Medium,Market Area
Frequent power outages in Station Road colony!,Electricity,Medium,Station Road
All street lights in near government hospital area are off since yesterday!,Street Lighting,Medium,near government hospital
frequent power outages in market area colony.,Electricity,Medium,Market Area
Industrial waste illegally dumped near Himayatnagar.,Sanitation,Medium,Himayatnagar
Street lights on Ward 12 road are dim and not enough!,Street Lighting,Medium,Ward 12
Electricity meter tampered in Station Road apartment!,Electricity,Medium,Station Road
road repair needed urgently in anna nagar.,Roads,Medium,Anna Nagar
Electricity supply disrupted for last Tuesday in Dilsukhnagar.,Electricity,Medium,Dilsukhnagar
Open garbage dumped near Old Town park.,Sanitation,Medium,Old Town
Substation fault causing outage in Rajampet for last week.,Electricity,Medium,Rajampet
no potable water available in himayatnagar ward.,Water Supply,Medium,Himayatnagar
Vandalism of street light in Rajampet colony!,Street Lighting,Medium,Rajampet
Public toilet near Lakshmi Puram is very dirty and needs cleaning.,Sanitation,Medium,Lakshmi Puram
Drain not cleaned before monsoon in Himayatnagar.,Drainage,Low,Himayatnagar
